category,term,object_type,volume,style_hint
brand,Rolex,watch,loud,ColdTrap
brand,Audemars Piguet,watch,loud,DarkAggressiveTrap
brand,Patek Philippe,watch,loud,LuxuryCinematicTrap
brand,Richard Mille,watch,loud,DarkAggressiveTrap
brand,Cartier Santos,watch,both,LuxuryCinematicTrap
brand,Maybach,car,loud,DarkAggressiveTrap
brand,Bentley,car,loud,ColdTrap
brand,Hermes,fashion,both,LuxuryCinematicTrap
spec,plain jane bezel,watch,subtle,LuxuryCinematicTrap
spec,bust down,watch,loud,DarkAggressiveTrap
spec,50K face,watch,both,ColdTrap
spec,V12 spec,car,both,DarkAggressiveTrap
spec,carbon ceramic brakes,car,subtle,LuxuryCinematicTrap
spec,hand-stitched interior,car,subtle,LuxuryCinematicTrap
environment,penthouse suite,,both,LuxuryCinematicTrap
environment,private terminal,,both,ColdTrap
environment,valet lane,,loud,DarkAggressiveTrap
environment,backroom showroom,,subtle,LuxuryCinematicTrap
provenance,copped at the source,,both,ColdTrap
provenance,gifted from day one,,subtle,LuxuryCinematicTrap
provenance,special order pull,,both,DarkAggressiveTrap
archive,Y2K cut,,subtle,LuxuryCinematicTrap
archive,archive season pull,,subtle,LuxuryCinematicTrap
archive,pre-season sample,,both,ColdTrap
